"0","Classic Pancakes","""[""""1 1/2 c. all-purpose flour"""""," """"3 1/2 tsp. baking powder"""""," """"1 tsp. salt"," """"1 Tbsp. white sugar"," """"1 1/4 c. milk"""""
"90","Blueberry Mango Smoothie (86)","[""1/2 c. frozen blueberry"", ""1/2 c. frozen mango"", ""1 c. yogurt"", ""1 Tbsp. protein powder""]","[""Combine all ingredients in a blender."", ""Blend until smooth. Serve immediately.""]","www.example-breakfast.com/recipe/90","Generated","[""blueberry"", ""mango"", ""yogurt"", ""protein powder""]"
"91","Scrambled Egg Wrap with Mozzarella (15)","[""1 large flour tortilla"", ""2 eggs"", ""1/4 c. shredded mozzarella"", ""1/4 c. Scrambled eggs"", ""2 Tbsp. diced mushrooms""]","[""Warm tortilla. Scramble eggs. Layer eggs, cheese, and vegetables (if using) on tortilla."", ""Fold and enjoy.""]","www.example-breakfast.com/recipe/91","Generated","[""flour tortilla"", ""eggs"", ""mozzarella"", ""mushrooms""]"
"92","Loaded White Bread Toast with Honey","[""2 slices white bread"", ""2 Tbsp. honey"", ""1/4 c. honey drizzle""]","[""Toast bread slices."", ""Spread honey generously on toast."", ""Top with honey drizzle.""]","www.example-breakfast.com/recipe/92","Generated","[""white_bread"", ""honey"", ""honey_drizzle""]"
"93","Fried Egg Wrap with Cheddar","[""1 large flour tortilla"", ""2 eggs"", ""1/4 c. shredded cheddar"", ""1/4 c. Fried eggs""]","[""Warm tortilla. Scramble eggs. Layer eggs, cheese, and vegetables (if using) on tortilla."", ""Fold and enjoy.""]","www.example-breakfast.com/recipe/93","Generated","[""flour tortilla"", ""eggs"", ""cheddar""]"
"94","Poached Egg Wrap with Mozzarella","[""1 large flour tortilla"", ""2 eggs"", ""1/4 c. shredded mozzarella"", ""1/4 c. Poached eggs"", ""2 Tbsp. diced spinach""]","[""Warm tortilla. Scramble eggs. Layer eggs, cheese, and vegetables (if using) on tortilla."", ""Fold and enjoy.""]","www.example-breakfast.com/recipe/94","Generated","[""flour tortilla"", ""eggs"", ""mozzarella"", ""spinach""]"
"95","Salty Bacon (4)","[""1/2 lb. bacon""]","[""Cook bacon in a skillet over medium heat until desired crispness."", ""Drain excess fat and serve.""]","www.example-breakfast.com/recipe/95","Generated","[""bacon""]"
"96","Chocolate Chips Pancakes (73)","[""1 1/2 c. all-purpose flour"", ""1 egg"", ""1 c. milk"", ""2 tsp. baking powder"", ""1/2 c. chocolate chips""]","[""Mix dry ingredients, then add wet ingredients and stir until just combined."", ""Gently fold in chocolate chips."", ""Cook on a griddle/waffle iron until golden brown.""]","www.example-breakfast.com/recipe/96","Generated","[""flour"", ""egg"", ""milk"", ""baking powder"", ""chocolate chips""]"
"97","Quick Raspberries and Pecans Oatmeal (8)","[""1/2 c. rolled oats"", ""1 c. water"", ""1/4 c. raspberries"", ""1 Tbsp. pecans"", ""1 Tbsp. maple syrup""]","[""Combine oats and water in a microwave-safe bowl. Microwave for 1-2 minutes until cooked."", ""Stir in raspberries, pecans, and maple syrup. Serve warm.""]","www.example-breakfast.com/recipe/97","Generated","[""rolled oats"", ""water"", ""raspberries"", ""pecans"", ""maple syrup""]"
"98","Strawberry Spinach (For Green Smoothie) Smoothie (59)","[""1/2 c. frozen strawberry"", ""1/2 c. frozen spinach (for green smoothie)"", ""1 c. almond milk""]","[""Combine all ingredients in a blender."", ""Blend until smooth. Serve immediately.""]","www.example-breakfast.com/recipe/98","Generated","[""strawberry"", ""spinach (for green smoothie)"", ""almond milk""]"
"99","Fried Egg Wrap with Feta","[""1 large flour tortilla"", ""2 eggs"", ""1/4 c. shredded feta"", ""1/4 c. Fried eggs"", ""2 Tbsp. diced tomatoes""]","[""Warm tortilla. Scramble eggs. Layer eggs, cheese, and vegetables (if using) on tortilla."", ""Fold and enjoy.""]","www.example-breakfast.com/recipe/99","Generated","[""flour tortilla"", ""eggs"", ""feta"", ""tomatoes""]"
"100","Quick Apple and Almonds Oatmeal","[""1/2 c. rolled oats"", ""1 c. water"", ""1/4 c. apple"", ""1 Tbsp. almonds"", ""1 Tbsp. brown sugar""]","[""Combine oats and water in a microwave-safe bowl. Microwave for 1-2 minutes until cooked."", ""Stir in apple, almonds, and brown sugar. Serve warm.""]","www.example-breakfast.com/recipe/100","Generated","[""rolled oats"", ""water"", ""apple"", ""almonds"", ""brown sugar""]"
"101","Quick Blueberries and Pecans Oatmeal","[""1/2 c. rolled oats"", ""1 c. water"", ""1/4 c. blueberries"", ""1 Tbsp. pecans"", ""1 Tbsp. brown sugar""]","[""Combine oats and water in a microwave-safe bowl. Microwave for 1-2 minutes until cooked."", ""Stir in blueberries, pecans, and brown sugar. Serve warm.""]","www.example-breakfast.com/recipe/101","Generated","[""rolled oats"", ""water"", ""blueberries"", ""pecans"", ""brown sugar""]"
"102","Salty Bacon (48)","[""1/2 lb. bacon""]","[""Cook bacon in a skillet over medium heat until desired crispness."", ""Drain excess fat and serve.""]","www.example-breakfast.com/recipe/102","Generated","[""bacon""]"
"103","Quick Banana and Pecans Oatmeal","[""1/2 c. rolled oats"", ""1 c. water"", ""1/4 c. banana"", ""1 Tbsp. pecans"", ""1 Tbsp. maple syrup""]","[""Combine oats and water in a microwave-safe bowl. Microwave for 1-2 minutes until cooked."", ""Stir in banana, pecans, and maple syrup. Serve warm.""]","www.example-breakfast.com/recipe/103","Generated","[""rolled oats"", ""water"", ""banana"", ""pecans"", ""maple syrup""]"
"104","Salty Turkey Sausage","[""1/2 lb. turkey sausage""]","[""Cook turkey sausage in a skillet over medium heat until desired crispness."", ""Drain excess fat and serve.""]","www.example-breakfast.com/recipe/104","Generated","[""turkey sausage""]"
"105","Loaded Rye Toast with Jam","[""2 slices rye"", ""2 Tbsp. jam"", ""1/4 c. honey drizzle""]","[""Toast bread slices."", ""Spread jam generously on toast."", ""Top with honey drizzle.""]","www.example-breakfast.com/recipe/105","Generated","[""rye"", ""jam"", ""honey_drizzle""]"
"106","Mango Pineapple Smoothie","[""1/2 c. frozen mango"", ""1/2 c. frozen pineapple"", ""1 c. oat milk""]","[""Combine all ingredients in a blender."", ""Blend until smooth. Serve immediately.""]","www.example-breakfast.com/recipe/106","Generated","[""mango"", ""pineapple"", ""oat milk""]"
"107","Fried Eggs with Onions","[""3 large eggs"", ""1 Tbsp. milk"", ""1/4 c. onions"", ""1/2 Tbsp. butter"", ""salt and pepper to taste""]","[""Whisk eggs and milk. Melt butter in a skillet."", ""Cook eggs to Fried style, adding onions towards the end of cooking. Season and serve.""]","www.example-breakfast.com/recipe/107","Generated","[""eggs"", ""milk"", ""onions"", ""butter"", ""salt"", ""pepper""]"
"108","Strawberry Spinach (For Green Smoothie) Smoothie (37)","[""1/2 c. frozen strawberry"", ""1/2 c. frozen spinach (for green smoothie)"", ""1 c. yogurt""]","[""Combine all ingredients in a blender."", ""Blend until smooth. Serve immediately.""]","www.example-breakfast.com/recipe/108","Generated","[""strawberry"", ""spinach (for green smoothie)"", ""yogurt""]"
"109","Fried Eggs with Spinach","[""3 large eggs"", ""1 Tbsp. milk"", ""1/4 c. spinach"", ""1/2 Tbsp. butter"", ""salt and pepper to taste""]","[""Whisk eggs and milk. Melt butter in a skillet."", ""Cook eggs to Fried style, adding spinach towards the end of cooking. Season and serve.""]","www.example-breakfast.com/recipe/109","Generated","[""eggs"", ""milk"", ""spinach"", ""butter"", ""salt"", ""pepper""]"
"110","Loaded Sourdough Toast with Peanut Butter","[""2 slices sourdough"", ""2 Tbsp. peanut butter"", ""1/4 c. honey drizzle""]","[""Toast bread slices."", ""Spread peanut butter generously on toast."", ""Top with honey drizzle.""]","www.example-breakfast.com/recipe/110","Generated","[""sourdough"", ""peanut_butter"", ""honey_drizzle""]"
"111","Boiled Eggs with Onions","[""3 large eggs"", ""1 Tbsp. milk"", ""1/4 c. onions"", ""1/2 Tbsp. butter"", ""salt and pepper to taste""]","[""Whisk eggs and milk. Melt butter in a skillet."", ""Cook eggs to Boiled style, adding onions towards the end of cooking. Season and serve.""]","www.example-breakfast.com/recipe/111","Generated","[""eggs"", ""milk"", ""onions"", ""butter"", ""salt"", ""pepper""]"
"112","Pecans Waffles (44)","[""1 1/2 c. all-purpose flour"", ""1 egg"", ""1 c. milk"", ""2 tsp. baking powder"", ""1/2 c. pecans""]","[""Mix dry ingredients, then add wet ingredients and stir until just combined."", ""Gently fold in pecans."", ""Cook on a griddle/waffle iron until golden brown.""]","www.example-breakfast.com/recipe/112","Generated","[""flour"", ""egg"", ""milk"", ""baking powder"", ""pecans""]"
"113","Quick Banana and Chia Seeds Oatmeal","[""1/2 c. rolled oats"", ""1 c. water"", ""1/4 c. banana"", ""1 Tbsp. chia seeds"", ""1 Tbsp. maple syrup""]","[""Combine oats and water in a microwave-safe bowl. Microwave for 1-2 minutes until cooked."", ""Stir in banana, chia seeds, and maple syrup. Serve warm.""]","www.example-breakfast.com/recipe/113","Generated","[""rolled oats"", ""water"", ""banana"", ""chia seeds"", ""maple syrup""]"
"114","Fried Egg Wrap with Mozzarella","[""1 large flour tortilla"", ""2 eggs"", ""1/4 c. shredded mozzarella"", ""1/4 c. Fried eggs"", ""2 Tbsp. diced mushrooms""]","[""Warm tortilla. Scramble eggs. Layer eggs, cheese, and vegetables (if using) on tortilla."", ""Fold and enjoy.""]","www.example-breakfast.com/recipe/114","Generated","[""flour tortilla"", ""eggs"", ""mozzarella"", ""mushrooms""]"
"115","Banana Slices Pancakes","[""1 1/2 c. all-purpose flour"", ""1 egg"", ""1 c. milk"", ""2 tsp. baking powder"", ""1/2 c. banana slices""]","[""Mix dry ingredients, then add wet ingredients and stir until just combined."", ""Gently fold in banana slices."", ""Cook on a griddle/waffle iron until golden brown.""]","www.example-breakfast.com/recipe/115","Generated","[""flour"", ""egg"", ""milk"", ""baking powder"", ""banana slices""]"
"116","Fried Eggs with Spinach (9)","[""3 large eggs"", ""1 Tbsp. milk"", ""1/4 c. spinach"", ""1/2 Tbsp. butter"", ""salt and pepper to taste""]","[""Whisk eggs and milk. Melt butter in a skillet."", ""Cook eggs to Fried style, adding spinach towards the end of cooking. Season and serve.""]","www.example-breakfast.com/recipe/116","Generated","[""eggs"", ""milk"", ""spinach"", ""butter"", ""salt"", ""pepper""]"
"117","Mango Blueberry Smoothie (93)","[""1/2 c. frozen mango"", ""1/2 c. frozen blueberry"", ""1 c. oat milk"", ""1 Tbsp. flax seeds""]","[""Combine all ingredients in a blender."", ""Blend until smooth. Serve immediately.""]","www.example-breakfast.com/recipe/117","Generated","[""mango"", ""blueberry"", ""oat milk"", ""flax seeds""]"
"118","Poached Egg Wrap with Mozzarella (52)","[""1 large flour tortilla"", ""2 eggs"", ""1/4 c. shredded mozzarella"", ""1/4 c. Poached eggs""]","[""Warm tortilla. Scramble eggs. Layer eggs, cheese, and vegetables (if using) on tortilla."", ""Fold and enjoy.""]","www.example-breakfast.com/recipe/118","Generated","[""flour tortilla"", ""eggs"", ""mozzarella""]"
"119","Quick Strawberries and Almonds Oatmeal","[""1/2 c. rolled oats"", ""1 c. water"", ""1/4 c. strawberries"", ""1 Tbsp. almonds"", ""1 Tbsp. brown sugar""]","[""Combine oats and water in a microwave-safe bowl. Microwave for 1-2 minutes until cooked."", ""Stir in strawberries, almonds, and brown sugar. Serve warm.""]","www.example-breakfast.com/recipe/119","Generated","[""rolled oats"", ""water"", ""strawberries"", ""almonds"", ""brown sugar""]"
"120","Fried Egg Wrap with Mozzarella (56)","[""1 large flour tortilla"", ""2 eggs"", ""1/4 c. shredded mozzarella"", ""1/4 c. Fried eggs""]","[""Warm tortilla. Scramble eggs. Layer eggs, cheese, and vegetables (if using) on tortilla."", ""Fold and enjoy.""]","www.example-breakfast.com/recipe/120","Generated","[""flour tortilla"", ""eggs"", ""mozzarella""]"
"121","Salty Turkey Sausage (71)","[""1/2 lb. turkey sausage""]","[""Cook turkey sausage in a skillet over medium heat until desired crispness."", ""Drain excess fat and serve.""]","www.example-breakfast.com/recipe/121","Generated","[""turkey sausage""]"
"122","Poached Eggs with Mushrooms","[""3 large eggs"", ""1 Tbsp. white vinegar"", ""1/4 c. mushrooms"", ""1/2 Tbsp. butter"", ""salt and pepper to taste""]","[""Bring a pot of water to a simmer. Add vinegar. Gently crack eggs into water and poach for 3-4 minutes."", ""Remove with a slotted spoon. Season and serve.""]","www.example-breakfast.com/recipe/122","Generated","[""eggs"", ""white vinegar"", ""mushrooms"", ""butter"", ""salt"", ""pepper""]"
"123","Blueberry Strawberry Smoothie","[""1/2 c. frozen blueberry"", ""1/2 c. frozen strawberry"", ""1 c. coconut water""]","[""Combine all ingredients in a blender."", ""Blend until smooth. Serve immediately.""]","www.example-breakfast.com/recipe/123","Generated","[""blueberry"", ""strawberry"", ""coconut water""]"
"124","Blueberry Mango Smoothie (4)","[""1/2 c. frozen blueberry"", ""1/2 c. frozen mango"", ""1 c. coconut water""]","[""Combine all ingredients in a blender."", ""Blend until smooth. Serve immediately.""]","www.example-breakfast.com/recipe/124","Generated","[""blueberry"", ""mango"", ""coconut water""]"
"125","Scrambled Egg Wrap with Mozzarella (49)","[""1 large flour tortilla"", ""2 eggs"", ""1/4 c. shredded mozzarella"", ""1/4 c. Scrambled eggs""]","[""Warm tortilla. Scramble eggs. Layer eggs, cheese, and vegetables (if using) on tortilla."", ""Fold and enjoy.""]","www.example-breakfast.com/recipe/125","Generated","[""flour tortilla"", ""eggs"", ""mozzarella""]"
"126","Strawberry Spinach (For Green Smoothie) Smoothie (50)","[""1/2 c. frozen strawberry"", ""1/2 c. frozen spinach (for green smoothie)"", ""1 c. coconut water""]","[""Combine all ingredients in a blender."", ""Blend until smooth. Serve immediately.""]","www.example-breakfast.com/recipe/126","Generated","[""strawberry"", ""spinach (for green smoothie)"", ""coconut water""]"
"127","Strawberry Mango Smoothie","[""1/2 c. frozen strawberry"", ""1/2 c. frozen mango"", ""1 c. almond milk""]","[""Combine all ingredients in a blender."", ""Blend until smooth. Serve immediately.""]","www.example-breakfast.com/recipe/127","Generated","[""strawberry"", ""mango"", ""almond milk""]"
"128","Poached Eggs with Onions (51)","[""3 large eggs"", ""1 Tbsp. white vinegar"", ""1/4 c. onions"", ""1/2 Tbsp. butter"", ""salt and pepper to taste""]","[""Bring a pot of water to a simmer. Add vinegar. Gently crack eggs into water and poach for 3-4 minutes."", ""Remove with a slotted spoon. Season and serve.""]","www.example-breakfast.com/recipe/128","Generated","[""eggs"", ""white vinegar"", ""onions"", ""butter"", ""salt"", ""pepper""]"
"129","Salty Canadian Bacon (56)","[""1/2 lb. Canadian bacon""]","[""Cook Canadian bacon in a skillet over medium heat until desired crispness."", ""Drain excess fat and serve.""]","www.example-breakfast.com/recipe/129","Generated","[""Canadian bacon""]"
"130","Pineapple Mango Smoothie","[""1/2 c. frozen pineapple"", ""1/2 c. frozen mango"", ""1 c. oat milk"", ""1 Tbsp. chia seeds""]","[""Combine all ingredients in a blender."", ""Blend until smooth. Serve immediately.""]","www.example-breakfast.com/recipe/130","Generated","[""pineapple"", ""mango"", ""oat milk"", ""chia seeds""]"
"131","Scrambled Eggs with Sausage","[""3 large eggs"", ""1 Tbsp. milk"", ""1/4 c. sausage"", ""1/2 Tbsp. butter"", ""salt and pepper to taste""]","[""Whisk eggs and milk. Melt butter in a skillet."", ""Cook eggs to Scrambled style, adding sausage towards the end of cooking. Season and serve.""]","www.example-breakfast.com/recipe/131","Generated","[""eggs"", ""milk"", ""sausage"", ""butter"", ""salt"", ""pepper""]"
"132","Quick Banana and Walnuts Oatmeal","[""1/2 c. rolled oats"", ""1 c. water"", ""1/4 c. banana"", ""1 Tbsp. walnuts"", ""1 Tbsp. maple syrup""]","[""Combine oats and water in a microwave-safe bowl. Microwave for 1-2 minutes until cooked."", ""Stir in banana, walnuts, and maple syrup. Serve warm.""]","www.example-breakfast.com/recipe/132","Generated","[""rolled oats"", ""water"", ""banana"", ""walnuts"", ""maple syrup""]"
"133","Blueberry Strawberry Smoothie (36)","[""1/2 c. frozen blueberry"", ""1/2 c. frozen strawberry"", ""1 c. almond milk""]","[""Combine all ingredients in a blender."", ""Blend until smooth. Serve immediately.""]","www.example-breakfast.com/recipe/133","Generated","[""blueberry"", ""strawberry"", ""almond milk""]"
"134","Boiled Eggs with Onions (31)","[""3 large eggs"", ""1 Tbsp. milk"", ""1/4 c. onions"", ""1/2 Tbsp. butter"", ""salt and pepper to taste""]","[""Whisk eggs and milk. Melt butter in a skillet."", ""Cook eggs to Boiled style, adding onions towards the end of cooking. Season and serve.""]","www.example-breakfast.com/recipe/134","Generated","[""eggs"", ""milk"", ""onions"", ""butter"", ""salt"", ""pepper""]"
"135","Loaded Whole Wheat Toast with Jam","[""2 slices whole wheat"", ""2 Tbsp. jam"", ""1/4 c. cinnamon""]","[""Toast bread slices."", ""Spread jam generously on toast."", ""Top with cinnamon.""]","www.example-breakfast.com/recipe/135","Generated","[""whole_wheat"", ""jam"", ""cinnamon""]"
"136","Mango Strawberry Smoothie","[""1/2 c. frozen mango"", ""1/2 c. frozen strawberry"", ""1 c. coconut water"", ""1 Tbsp. flax seeds""]","[""Combine all ingredients in a blender."", ""Blend until smooth. Serve immediately.""]","www.example-breakfast.com/recipe/136","Generated","[""mango"", ""strawberry"", ""coconut water"", ""flax seeds""]"
"137","Blueberry Pineapple Smoothie (76)","[""1/2 c. frozen blueberry"", ""1/2 c. frozen pineapple"", ""1 c. oat milk""]","[""Combine all ingredients in a blender."", ""Blend until smooth. Serve immediately.""]","www.example-breakfast.com/recipe/137","Generated","[""blueberry"", ""pineapple"", ""oat milk""]"
"138","Blueberry Strawberry Smoothie (46)","[""1/2 c. frozen blueberry"", ""1/2 c. frozen strawberry"", ""1 c. almond milk"", ""1 Tbsp. chia seeds""]","[""Combine all ingredients in a blender."", ""Blend until smooth. Serve immediately.""]","www.example-breakfast.com/recipe/138","Generated","[""blueberry"", ""strawberry"", ""almond milk"", ""chia seeds""]"
"139","Quick Banana and Almonds Oatmeal (75)","[""1/2 c. rolled oats"", ""1 c. water"", ""1/4 c. banana"", ""1 Tbsp. almonds"", ""1 Tbsp. brown sugar""]","[""Combine oats and water in a microwave-safe bowl. Microwave for 1-2 minutes until cooked."", ""Stir in banana, almonds, and brown sugar. Serve warm.""]","www.example-breakfast.com/recipe/139","Generated","[""rolled oats"", ""water"", ""banana"", ""almonds"", ""brown sugar""]"
"140","Loaded Sourdough Toast with Honey","[""2 slices sourdough"", ""2 Tbsp. honey"", ""1/4 c. honey drizzle""]","[""Toast bread slices."", ""Spread honey generously on toast."", ""Top with honey drizzle.""]","www.example-breakfast.com/recipe/140","Generated","[""sourdough"", ""honey"", ""honey_drizzle""]"
"141","Quick Raspberries and Pecans Oatmeal (44)","[""1/2 c. rolled oats"", ""1 c. water"", ""1/4 c. raspberries"", ""1 Tbsp. pecans"", ""1 Tbsp. maple syrup""]","[""Combine oats and water in a microwave-safe bowl. Microwave for 1-2 minutes until cooked."", ""Stir in raspberries, pecans, and maple syrup. Serve warm.""]","www.example-breakfast.com/recipe/141","Generated","[""rolled oats"", ""water"", ""raspberries"", ""pecans"", ""maple syrup""]"
"142","Quick Strawberries and Walnuts Oatmeal","[""1/2 c. rolled oats"", ""1 c. water"", ""1/4 c. strawberries"", ""1 Tbsp. walnuts"", ""1 Tbsp. brown sugar""]","[""Combine oats and water in a microwave-safe bowl. Microwave for 1-2 minutes until cooked."", ""Stir in strawberries, walnuts, and brown sugar. Serve warm.""]","www.example-breakfast.com/recipe/142","Generated","[""rolled oats"", ""water"", ""strawberries"", ""walnuts"", ""brown sugar""]"
"143","Boiled Eggs with Spinach (3)","[""3 large eggs"", ""1 Tbsp. milk"", ""1/4 c. spinach"", ""1/2 Tbsp. butter"", ""salt and pepper to taste""]","[""Whisk eggs and milk. Melt butter in a skillet."", ""Cook eggs to Boiled style, adding spinach towards the end of cooking. Season and serve.""]","www.example-breakfast.com/recipe/143","Generated","[""eggs"", ""milk"", ""spinach"", ""butter"", ""salt"", ""pepper""]"
"144","Poached Eggs with Cheese (72)","[""3 large eggs"", ""1 Tbsp. white vinegar"", ""1/4 c. cheese"", ""1/2 Tbsp. butter"", ""salt and pepper to taste""]","[""Bring a pot of water to a simmer. Add vinegar. Gently crack eggs into water and poach for 3-4 minutes."", ""Remove with a slotted spoon. Season and serve.""]","www.example-breakfast.com/recipe/144","Generated","[""eggs"", ""white vinegar"", ""cheese"", ""butter"", ""salt"", ""pepper""]"
"145","Loaded Whole Wheat Toast with Peanut Butter (41)","[""2 slices whole wheat"", ""2 Tbsp. peanut butter"", ""1/4 c. honey drizzle""]","[""Toast bread slices."", ""Spread peanut butter generously on toast."", ""Top with honey drizzle.""]","www.example-breakfast.com/recipe/145","Generated","[""whole_wheat"", ""peanut_butter"", ""honey_drizzle""]"
"146","Loaded Sourdough Toast with Honey (78)","[""2 slices sourdough"", ""2 Tbsp. honey"", ""1/4 c. cinnamon""]","[""Toast bread slices."", ""Spread honey generously on toast."", ""Top with cinnamon.""]","www.example-breakfast.com/recipe/146","Generated","[""sourdough"", ""honey"", ""cinnamon""]"
"147","Boiled Egg Wrap with Mozzarella (80)","[""1 large flour tortilla"", ""2 eggs"", ""1/4 c. shredded mozzarella"", ""1/4 c. Boiled eggs"", ""2 Tbsp. diced bell peppers""]","[""Warm tortilla. Scramble eggs. Layer eggs, cheese, and vegetables (if using) on tortilla."", ""Fold and enjoy.""]","www.example-breakfast.com/recipe/147","Generated","[""flour tortilla"", ""eggs"", ""mozzarella"", ""bell peppers""]"
"148","Loaded White Bread Toast with Almond Butter","[""2 slices white bread"", ""2 Tbsp. almond butter"", ""1/4 c. cinnamon""]","[""Toast bread slices."", ""Spread almond butter generously on toast."", ""Top with cinnamon.""]","www.example-breakfast.com/recipe/148","Generated","[""white_bread"", ""almond_butter"", ""cinnamon""]"
"149","Salty Sausage Patties (62)","[""1/2 lb. sausage patties""]","[""Cook sausage patties in a skillet over medium heat until desired crispness."", ""Drain excess fat and serve.""]","www.example-breakfast.com/recipe/149","Generated","[""sausage patties""]"
"150","Loaded White Bread Toast with Peanut Butter (57)","[""2 slices white bread"", ""2 Tbsp. peanut butter"", ""1/4 c. sliced banana""]","[""Toast bread slices."", ""Spread peanut butter generously on toast."", ""Top with sliced banana.""]","www.example-breakfast.com/recipe/150","Generated","[""white_bread"", ""peanut_butter"", ""sliced_banana""]"
"151","Salty Canadian Bacon (33)","[""1/2 lb. Canadian bacon""]","[""Cook Canadian bacon in a skillet over medium heat until desired crispness."", ""Drain excess fat and serve.""]","www.example-breakfast.com/recipe/151","Generated","[""Canadian bacon""]"
"152","Fried Egg Wrap with Swiss","[""1 large flour tortilla"", ""2 eggs"", ""1/4 c. shredded Swiss"", ""1/4 c. Fried eggs"", ""2 Tbsp. diced mushrooms""]","[""Warm tortilla. Scramble eggs. Layer eggs, cheese, and vegetables (if using) on tortilla."", ""Fold and enjoy.""]","www.example-breakfast.com/recipe/152","Generated","[""flour tortilla"", ""eggs"", ""Swiss"", ""mushrooms""]"
"153","Pecans Pancakes (23)","[""1 1/2 c. all-purpose flour"", ""1 egg"", ""1 c. milk"", ""2 tsp. baking powder"", ""1/2 c. pecans""]","[""Mix dry ingredients, then add wet ingredients and stir until just combined."", ""Gently fold in pecans."", ""Cook on a griddle/waffle iron until golden brown.""]","www.example-breakfast.com/recipe/153","Generated","[""flour"", ""egg"", ""milk"", ""baking powder"", ""pecans""]"
"154","Loaded Whole Wheat Toast with Honey (1)","[""2 slices whole wheat"", ""2 Tbsp. honey"", ""1/4 c. honey drizzle""]","[""Toast bread slices."", ""Spread honey generously on toast."", ""Top with honey drizzle.""]","www.example-breakfast.com/recipe/154","Generated","[""whole_wheat"", ""honey"", ""honey_drizzle""]"
"155","Salty Turkey Sausage (98)","[""1/2 lb. turkey sausage""]","[""Cook turkey sausage in a skillet over medium heat until desired crispness."", ""Drain excess fat and serve.""]","www.example-breakfast.com/recipe/155","Generated","[""turkey sausage""]"
"156","Quick Blueberries and Almonds Oatmeal","[""1/2 c. rolled oats"", ""1 c. water"", ""1/4 c. blueberries"", ""1 Tbsp. almonds"", ""1 Tbsp. brown sugar""]","[""Combine oats and water in a microwave-safe bowl. Microwave for 1-2 minutes until cooked."", ""Stir in blueberries, almonds, and brown sugar. Serve warm.""]","www.example-breakfast.com/recipe/156","Generated","[""rolled oats"", ""water"", ""blueberries"", ""almonds"", ""brown sugar""]"
"157","Poached Egg Wrap with Feta (43)","[""1 large flour tortilla"", ""2 eggs"", ""1/4 c. shredded feta"", ""1/4 c. Poached eggs"", ""2 Tbsp. diced onions""]","[""Warm tortilla. Scramble eggs. Layer eggs, cheese, and vegetables (if using) on tortilla."", ""Fold and enjoy.""]","www.example-breakfast.com/recipe/157","Generated","[""flour tortilla"", ""eggs"", ""feta"", ""onions""]"
"158","Quick Strawberries and Chia Seeds Oatmeal","[""1/2 c. rolled oats"", ""1 c. water"", ""1/4 c. strawberries"", ""1 Tbsp. chia seeds"", ""1 Tbsp. honey""]","[""Combine oats and water in a microwave-safe bowl. Microwave for 1-2 minutes until cooked."", ""Stir in strawberries, chia seeds, and honey. Serve warm.""]","www.example-breakfast.com/recipe/158","Generated","[""rolled oats"", ""water"", ""strawberries"", ""chia seeds"", ""honey""]"
"159","Quick Raspberries and Walnuts Oatmeal","[""1/2 c. rolled oats"", ""1 c. water"", ""1/4 c. raspberries"", ""1 Tbsp. walnuts"", ""1 Tbsp. brown sugar""]","[""Combine oats and water in a microwave-safe bowl. Microwave for 1-2 minutes until cooked."", ""Stir in raspberries, walnuts, and brown sugar. Serve warm.""]","www.example-breakfast.com/recipe/159","Generated","[""rolled oats"", ""water"", ""raspberries"", ""walnuts"", ""brown sugar""]"
"160","Scrambled Egg Wrap with Swiss (63)","[""1 large flour tortilla"", ""2 eggs"", ""1/4 c. shredded Swiss"", ""1/4 c. Scrambled eggs"", ""2 Tbsp. diced spinach""]","[""Warm tortilla. Scramble eggs. Layer eggs, cheese, and vegetables (if using) on tortilla."", ""Fold and enjoy.""]","www.example-breakfast.com/recipe/160","Generated","[""flour tortilla"", ""eggs"", ""Swiss"", ""spinach""]"
"161","Spinach (For Green Smoothie) Strawberry Smoothie","[""1/2 c. frozen spinach (for green smoothie)"", ""1/2 c. frozen strawberry"", ""1 c. yogurt"", ""1 Tbsp. protein powder""]","[""Combine all ingredients in a blender."", ""Blend until smooth. Serve immediately.""]","www.example-breakfast.com/recipe/161","Generated","[""spinach (for green smoothie)"", ""strawberry"", ""yogurt"", ""protein powder""]"
"162","Poached Eggs with Bell Peppers","[""3 large eggs"", ""1 Tbsp. white vinegar"", ""1/4 c. bell peppers"", ""1/2 Tbsp. butter"", ""salt and pepper to taste""]","[""Bring a pot of water to a simmer. Add vinegar. Gently crack eggs into water and poach for 3-4 minutes."", ""Remove with a slotted spoon. Season and serve.""]","www.example-breakfast.com/recipe/162","Generated","[""eggs"", ""white vinegar"", ""bell peppers"", ""butter"", ""salt"", ""pepper""]"
"163","Salty Bacon (2)","[""1/2 lb. bacon""]","[""Cook bacon in a skillet over medium heat until desired crispness."", ""Drain excess fat and serve.""]","www.example-breakfast.com/recipe/163","Generated","[""bacon""]"
"164","Strawberry Blueberry Smoothie","[""1/2 c. frozen strawberry"", ""1/2 c. frozen blueberry"", ""1 c. coconut water""]","[""Combine all ingredients in a blender."", ""Blend until smooth. Serve immediately.""]","www.example-breakfast.com/recipe/164","Generated","[""strawberry"", ""blueberry"", ""coconut water""]"
"165","Salty Sausage Patties (91)","[""1/2 lb. sausage patties""]","[""Cook sausage patties in a skillet over medium heat until desired crispness."", ""Drain excess fat and serve.""]","www.example-breakfast.com/recipe/165","Generated","[""sausage patties""]"
